SITE_NAME;FREQUENCE;BEGIN;END; DAY ;KWH_PERIOD;PERIOD_EUR
0001BB;36;01/01/2018;31/01/2018;30;2447;316,46
0001BB;36;01/02/2018;28/02/2018;27;2211;286,82
0001BB;36;01/03/2018;31/03/2018;30;2450;317,32
0001BB;36;01/04/2018;30/04/2018;29;2431;315
0001BB;36;01/05/2018;31/05/2018;30;2574;333,37
0001BB;36;01/06/2018;30/06/2018;29;2830;365,27
0001BB;36;01/07/2018;31/07/2018;30;3028;390,39
0001BB;36;01/08/2018;31/08/2018;30;3053;393,99
0001BB;36;01/09/2018;30/09/2018;29;2915;378,35
0001BB;36;01/10/2018;31/10/2018;30;2986;387,05
0001BB;36;01/11/2018;30/11/2018;29;2871;372,47
0001BB;36;01/12/2018;31/12/2018;30;3086;399,3
0001BB;36;01/01/2019;31/01/2019;30;3094;381,4
0001BB;36;01/02/2019;28/02/2019;27;2767;345,87
0001BB;36;01/03/2019;31/03/2019;30;3059;378,18
0001BB;36;01/04/2019;30/04/2019;29;2761;340,84
0001BB;36;01/05/2019;31/05/2019;30;2844;349,26
0001BB;36;01/06/2019;30/06/2019;29;3009;369,19
0001BB;36;01/07/2019;31/07/2019;30;3016;371,2
0001BB;36;01/08/2019;31/08/2019;30;3089;380,42
0001BB;36;01/09/2019;30/09/2019;29;2914;361,36
0001BB;36;01/10/2019;31/10/2019;30;2963;366,7
0001BB;36;01/11/2019;30/11/2019;29;2797;345,89
0001BB;36;01/12/2019;31/12/2019;30;2859;353,08
0001BB;36;01/01/2020;31/01/2020;30;2863;414,93
0001BB;36;01/02/2020;29/02/2020;28;2663;387,22
0001BB;36;01/03/2020;31/03/2020;30;2759;403,25
0001BB;36;01/04/2020;30/04/2020;29;2680;390,79
0001BB;36;01/05/2020;31/05/2020;30;2797;407,48
0001BB;36;01/06/2020;30/06/2020;29;2796;407,77
0001BB;36;01/07/2020;31/07/2020;30;2952;429,09
0001BB;36;01/08/2020;31/08/2020;30;3014;435,98
0001BB;36;01/09/2020;30/09/2020;29;2857;411,97
0001BB;36;01/10/2020;31/10/2020;30;2905;413,41
0001BB;36;01/11/2020;30/11/2020;29;2755;383,02
0001BR;71;01/01/2018;31/01/2018;30;2438;266,43
0001BR;71;01/02/2018;28/02/2018;27;2211;242,33
0001BR;71;01/03/2018;31/03/2018;30;2453;267,95
0001BR;71;01/04/2018;30/04/2018;29;2414;263,78
0001BR;71;01/05/2018;31/05/2018;30;2517;274,62
0001BR;71;01/06/2018;30/06/2018;29;2461;268,63
0001BR;71;01/07/2018;31/07/2018;30;2560;279,26
0001BR;71;01/08/2018;31/08/2018;30;2597;283,07
0001BR;71;01/09/2018;30/09/2018;29;2436;267,99
0001BR;71;01/10/2018;31/10/2018;30;2497;274,5
0001BR;71;01/11/2018;30/11/2018;29;2397;263,82
0001BR;71;01/12/2018;31/12/2018;30;2452;269,69
0001BR;71;01/01/2019;31/01/2019;30;2460;264,03
0001BR;71;01/02/2019;28/02/2019;27;2229;239,96
0001BR;71;01/03/2019;31/03/2019;30;2475;265,56
0001BR;71;01/04/2019;30/04/2019;29;2410;258,76
0001BR;71;01/05/2019;31/05/2019;30;2508;268,92
0001BR;71;01/06/2019;30/06/2019;29;2529;270,94
0001BR;71;01/07/2019;31/07/2019;30;2593;277,63
0001BR;71;01/08/2019;31/08/2019;30;2603;278,6
0001BR;71;01/09/2019;30/09/2019;29;2595;277,2
0001BR;71;01/10/2019;31/10/2019;30;2708;288,79
0001BR;71;01/11/2019;30/11/2019;29;2595;277,07
0001BR;71;01/12/2019;31/12/2019;30;2648;282,57
0001BR;71;01/01/2020;31/01/2020;30;2600;330,81
0001BR;71;01/02/2020;29/02/2020;28;2445;311,57
0001BR;71;01/03/2020;31/03/2020;30;2609;330,32
0001BR;71;01/04/2020;30/04/2020;29;2629;332,7
0001BR;71;01/05/2020;31/05/2020;30;2735;345,77
0001BR;71;01/06/2020;30/06/2020;29;2687;339,78
0001BR;71;01/07/2020;31/07/2020;30;2854;360,33
0001BR;71;01/08/2020;31/08/2020;30;2886;364,21
0001BR;71;01/09/2020;30/09/2020;29;2761;348,79
0001BR;71;01/10/2020;31/10/2020;30;2802;353,9
0001BR;71;01/11/2020;30/11/2020;29;2677;338,44
0001KO;106;01/01/2018;31/01/2018;30;2179;268,53
0001KO;106;01/02/2018;28/02/2018;27;1971;243,47
0001KO;106;01/03/2018;31/03/2018;30;2191;269,98
0001KO;106;01/04/2018;30/04/2018;29;2370;291,55
0001KO;106;01/05/2018;31/05/2018;30;2647;324,92
0001KO;106;01/06/2018;30/06/2018;29;2634;323,35
0001KO;106;01/07/2018;31/07/2018;30;2799;343,43
0001KO;106;01/08/2018;31/08/2018;30;2908;356,57
0001KO;106;01/09/2018;30/09/2018;29;2483;307,29
0001KO;106;01/10/2018;31/10/2018;30;2297;284,72
0001KO;106;01/11/2018;30/11/2018;29;2130;264,46
0001KO;106;01/12/2018;31/12/2018;30;2489;308,02
0001KO;106;01/01/2019;31/01/2019;30;2679;364,03
0001KO;106;01/02/2019;28/02/2019;27;2429;330,63
0001KO;106;01/03/2019;31/03/2019;30;2648;359,89
0001KO;106;01/04/2019;30/04/2019;29;2478;337,18
0001KO;106;01/05/2019;31/05/2019;30;2535;344,79
0001KO;106;01/06/2019;30/06/2019;29;2884;391,43
0001KO;106;01/07/2019;31/07/2019;30;2872;389,82
0001KO;106;01/08/2019;31/08/2019;30;2978;403,99
0001KO;106;01/09/2019;30/09/2019;29;2529;343,99
0001KO;106;01/10/2019;31/10/2019;30;2487;338,38
0001KO;106;01/11/2019;30/11/2019;29;2384;324,62
0001KO;106;01/12/2019;31/12/2019;30;2463;335,17
0001KO;106;01/01/2020;31/01/2020;30;2454;331,9
0001KO;106;01/02/2020;29/02/2020;28;2377;321,7
0001KO;106;01/03/2020;31/03/2020;30;2596;350,71
0001KO;106;01/04/2020;30/04/2020;29;2675;365,4
0001KO;106;01/05/2020;31/05/2020;30;2781;375,22
0001KO;106;01/06/2020;30/06/2020;29;2989;402,77
0001KO;106;01/07/2020;31/07/2020;30;3322;446,89
0001KO;106;01/08/2020;31/08/2020;30;3109;418,67
0001KO;106;01/09/2020;30/09/2020;29;2911;392,44
0001KO;106;01/10/2020;31/10/2020;30;2747;370,72
0001KO;106;01/11/2020;30/11/2020;29;2625;354,55
0002BB;141;01/01/2018;31/01/2018;30;2376;310,46
0002BB;141;01/02/2018;28/02/2018;27;2160;283,07
0002BB;141;01/03/2018;31/03/2018;30;2390;313,01
0002BB;141;01/04/2018;30/04/2018;29;2378;311,8
0002BB;141;01/05/2018;31/05/2018;30;2529;330,93
0002BB;141;01/06/2018;30/06/2018;29;2790;363,65
0002BB;141;01/07/2018;31/07/2018;30;2988;388,77
0002BB;141;01/08/2018;31/08/2018;30;3019;393,19
0002BB;141;01/09/2018;30/09/2018;29;2873;376,62
0002BB;141;01/10/2018;31/10/2018;30;2940;384,79
0002BB;141;01/11/2018;30/11/2018;29;2821;369,46
0002BB;141;01/12/2018;31/12/2018;30;3029;395,45
0002BB;141;01/01/2019;31/01/2019;30;3033;378,02
0002BB;141;01/02/2019;28/02/2019;27;2684;339,51
0002BB;141;01/03/2019;31/03/2019;30;3008;376,16
0002BB;141;01/04/2019;30/04/2019;29;2663;332,01
0002BB;141;01/05/2019;31/05/2019;30;2741;339,86
0002BB;141;01/06/2019;30/06/2019;29;2952;364,23
0002BB;141;01/07/2019;31/07/2019;30;2914;363,68
0002BB;141;01/08/2019;31/08/2019;30;2965;368,84
0002BB;141;01/09/2019;30/09/2019;29;2819;352,21
0002BB;141;01/10/2019;31/10/2019;30;2927;364,86
0002BB;141;01/11/2019;30/11/2019;29;2773;346,35
0002BB;141;01/12/2019;31/12/2019;30;2822;351,9
0002BB;141;01/01/2020;31/01/2020;30;2830;406,02
0002BB;141;01/02/2020;29/02/2020;28;2625;378,86
0002BB;141;01/03/2020;31/03/2020;30;2734;396,33
0002BB;141;01/04/2020;30/04/2020;29;2644;382,45
0002BB;141;01/05/2020;31/05/2020;30;2753;397,69
0002BB;141;01/06/2020;30/06/2020;29;2763;399,57
0002BB;141;01/07/2020;31/07/2020;30;2904;418,43
0002BB;141;01/08/2020;31/08/2020;30;2962;425,38
0002BB;141;01/09/2020;30/09/2020;29;2828;406,82
0002BB;141;01/10/2020;31/10/2020;30;2875;412,79
0002BB;141;01/11/2020;30/11/2020;29;2739;381,14
0002BR;176;01/01/2018;31/01/2018;30;2187;239,96
0002BR;176;01/02/2018;28/02/2018;27;1985;218,51
0002BR;176;01/03/2018;31/03/2018;30;2209;242,16
0002BR;176;01/04/2018;30/04/2018;29;2151;235,47
0002BR;176;01/05/2018;31/05/2018;30;2251;245,79
0002BR;176;01/06/2018;30/06/2018;29;2207;241
0002BR;176;01/07/2018;31/07/2018;30;2290;249,83
0002BR;176;01/08/2018;31/08/2018;30;2316;252,45
0002BR;176;01/09/2018;30/09/2018;29;2172;239,1
0002BR;176;01/10/2018;31/10/2018;30;2216;244,03
0002BR;176;01/11/2018;30/11/2018;29;2313;254,38
0002BR;176;01/12/2018;31/12/2018;30;2659;290,96
0002BR;176;01/01/2019;31/01/2019;30;2662;284,26
0002BR;176;01/02/2019;28/02/2019;27;2409;257,94
0002BR;176;01/03/2019;31/03/2019;30;2707;288,61
0002BR;176;01/04/2019;30/04/2019;29;2624;279,83
0002BR;176;01/05/2019;31/05/2019;30;2715;289,18
0002BR;176;01/06/2019;30/06/2019;29;2741;291,44
0002BR;176;01/07/2019;31/07/2019;30;2812;298,72
0002BR;176;01/08/2019;31/08/2019;30;2537;269,82
0002BR;176;01/09/2019;30/09/2019;29;2414;257,19
0002BR;176;01/10/2019;31/10/2019;30;2489;265,07
0002BR;176;01/11/2019;30/11/2019;29;2410;257,13
0002BR;176;01/12/2019;31/12/2019;30;2493;265,86
0002BR;176;01/01/2020;31/01/2020;30;2513;319,43
0002BR;176;01/02/2020;29/02/2020;28;2400;305,19
0002BR;176;01/03/2020;31/03/2020;30;2646;333,77
0002BR;176;01/04/2020;30/04/2020;29;2674;337
0002BR;176;01/05/2020;31/05/2020;30;2651;334,85
0002BR;176;01/06/2020;30/06/2020;29;2586;326,84
0002BR;176;01/07/2020;31/07/2020;30;2751;347,07
0002BR;176;01/08/2020;31/08/2020;30;2780;350,62
0002BR;176;01/09/2020;30/09/2020;29;2660;335,86
0002BR;176;01/10/2020;31/10/2020;30;2745;346,36
0002BR;176;01/11/2020;30/11/2020;29;2628;331,97
0002KO;211;01/01/2018;31/01/2018;30;2312;286,36
0002KO;211;01/02/2018;28/02/2018;27;2086;259,13
0002KO;211;01/03/2018;31/03/2018;30;2308;285,88
0002KO;211;01/04/2018;30/04/2018;29;2245;278,29
0002KO;211;01/05/2018;31/05/2018;30;2339;289,61
0002KO;211;01/06/2018;30/06/2018;29;2278;282,26
0002KO;211;01/07/2018;31/07/2018;30;2348;290,86
0002KO;211;01/08/2018;31/08/2018;30;2368;293,27
0002KO;211;01/09/2018;30/09/2018;29;2248;280,57
0002KO;211;01/10/2018;31/10/2018;30;2300;286,88
0002KO;211;01/11/2018;30/11/2018;29;2595;322,68
0002KO;211;01/12/2018;31/12/2018;30;2765;343,31
0002KO;211;01/01/2019;31/01/2019;30;2766;377,48
0002KO;211;01/02/2019;28/02/2019;27;2500;341,94
0002KO;211;01/03/2019;31/03/2019;30;2652;362,25
0002KO;211;01/04/2019;30/04/2019;29;2483;339,67
0002KO;211;01/05/2019;31/05/2019;30;2548;348,35
